ID_hex,ID_dec,Count,Last_Data
0x004920F9,4792569,3,28 76 46 10 00 08 53
0x02204000,35667968,14,12 1E 00 00 00 00 00 00
0x0220639D,35677085,14,13 30 00 00 00 00 00 00
0x02208000,35684352,8,12 1E 00 00 00 00 00 00
0x0220A3A3,35693475,8,13 1E 00 00 00 00 88 C0
0x0220C000,35700736,15,12 1E 00 00 00 00 00 00
0x0220E3B1,35709873,17,13 1E 00 00 00 00 71 C0
0x02210000,35717120,8,12 1E 00 00 00 00 00 00
0x02212206,35725830,8,13 1E 00 00 00 00 8A 80
0x02214000,35733504,14,12 1E 00 00 00 00 00 00
0x022163B8,35742648,16,13 62 00 00 00 09 25 B2
0x02218000,35749888,17,12 1E 00 00 00 00 00 00
0x0221A3B6,35759030,17,13 1E 00 00 00 00 77 40
0x0221C000,35766272,17,12 1E 00 00 00 00 00 00
0x0221DA1F,35772959,17,13 1E 00 00 00 00 73 40
0x02220000,35782656,17,12 1E 00 00 00 00 00 00
0x02221A37,35789367,17,13 30 00 00 00 00 00 00
0x02224000,35799040,17,12 1E 00 00 00 00 00 00
0x02225A08,35805704,17,13 1E 00 00 00 00 71 C0
0x02228000,35815424,17,12 1E 00 00 00 00 00 00
0x02229A32,35822130,17,13 1E 00 00 00 00 70 80
0x0222C000,35831808,17,12 1E 00 00 00 00 00 00
0x0222D78F,35837839,17,13 1E 00 00 00 00 77 80
0x02230000,35848192,17,12 1E 00 00 00 00 00 00
0x022312F9,35853049,17,13 1E 00 00 00 00 77 40
